domaine,parcelle,Ligne,RatioAccuracy,Arbre,Nom_Image,Variete,Porte greffe,fruits_comptés,fruits_detecte,Non_Detectes,Fausses_détections,Accuracy,fruits_sombre,petit,Trop Grand,caché,Fruits en arrière plan,Fruits groupés,autre,,Precision,Recall,F1 Score,FruitDetecté2,Fausse_Détection2,Accuracy2,Précision2
STAHALMAD,25210,,,,,Berkane,C.Carrizo,23,23,4,4,"82,60869565",0,0,0,2,0,1,1,,"0,8518518519","0,7037037037","0,7707231041",,,,
STAHALMAD,25210,,,,,Berkane,C.Carrizo,43,27,16,0,"62,79069767",1,0,0,8,0,4,3,,1,"0,6279069767","0,7714285714",,,,
STAHALMAD,25210,,,,,Berkane,C.Carrizo,32,23,10,1,"68,75",0,0,0,7,0,1,2,,"0,9583333333","0,6666666667","0,7863247863",,,,
STAHALMAD,25210,,,,,Berkane,C.Carrizo,46,34,14,2,"69,56521739",3,0,0,8,0,0,3,,"0,9444444444","0,6666666667","0,7816091954",,,,
STAHALMAD,25210,,,,,Berkane,C.Carrizo,4,5,0,1,100,0,0,0,0,0,0,0,,"0,8333333333","0,8","0,8163265306",,,,
STAHALMAD,25210,,,,,Berkane,C.Carrizo,18,14,6,2,"66,66666667",0,0,0,4,0,1,1,,"0,875","0,6","0,7118644068",,,,
STAHALMAD,25210,,,,,Berkane,C.Carrizo,25,18,7,0,72,1,0,0,5,0,0,1,,1,"0,72","0,8372093023",,,,
Saouda,21030,105,0,4,,Orogrande,Volkameriana,71,54,19,2,"73,23943662",0,0,0,12,0,5,2,,"0,9642857143","0,7123287671","0,8193755471",63,2,"85,91549296","0,9692307692"
Saouda,21030,103,"1,118899443",2,,Orogrande,Volkameriana,56,44,13,1,"76,78571429",1,0,0,8,0,2,2,,"0,9777777778","0,7543859649","0,851676795",59,4,"98,21428571","0,9365079365"
Saouda,21030,102,"1,128419453",1,,Orogrande,Volkameriana,54,48,7,1,"87,03703704",0,0,0,4,0,3,0,,"0,9795918367","0,8545454545","0,9128059883",66,12,100,"0,8461538462"
Saouda,21030,107,"1,181818182",6,,Orogrande,Volkameriana,39,33,6,0,"84,61538462",0,0,0,4,0,1,1,,1,"0,8461538462","0,9166666667",47,5,"107,6923077","0,9038461538"
Saouda,21030,106,"1,181141439",5,,Orogrande,Volkameriana,34,31,3,0,"91,17647059",0,0,0,3,0,0,0,,1,"0,9117647059","0,9538461538",46,6,"117,6470588","0,8846153846"
Saouda,21030,109,"1,568627451",8,,Orogrande,Volkameriana,24,20,6,2,75,0,0,0,6,0,0,0,,"0,9090909091","0,6923076923","0,7860262009",28,6,"91,66666667","0,8235294118"
Saouda,21030,108,"1,203125",7,,Orogrande,Volkameriana,21,21,5,5,"76,19047619",0,0,0,4,0,1,0,,"0,8076923077","0,6153846154","0,6985446985",27,10,"80,95238095","0,7297297297"
Saouda,21030,110,"1,214285714",9,,Orogrande,Volkameriana,21,14,7,0,"66,66666667",3,0,0,3,0,1,0,,1,"0,6666666667","0,8",14,14,0,"0,5"
Saouda,21030,111,0,10,,Orogrande,Volkameriana,21,15,7,1,"66,66666667",2,0,0,5,0,0,0,,"0,9375","0,6363636364","0,7581227437",20,3,"80,95238095","0,8695652174"
Saouda,21030,104,"0,8095238095",3,,Orogrande,Volkameriana,5,8,0,3,100,0,0,0,0,0,0,0,,"0,7272727273","0,625","0,6722689076",6,4,40,"0,6"
Saouda,22030,120,"0,4888888889",9,,Orogrande,Volkameriana,55,45,10,0,"81,81818182",0,0,0,6,0,2,2,,1,"0,8181818182","0,9",63,3,"109,0909091","0,9545454545"
Saouda,22030,119,"1,558441558",8,,Orogrande,Volkameriana,50,37,15,2,70,0,0,0,11,0,3,1,,"0,9487179487","0,6730769231","0,7874733962",62,9,106,"0,8732394366"
Saouda,22030,113,"1,311052632",2,,Orogrande,Volkameriana,47,38,9,0,"80,85106383",0,0,0,6,0,3,0,,1,"0,8085106383","0,8941176471",50,3,100,"0,9433962264"
Saouda,22030,112,"1,133333333",1,,Orogrande,Volkameriana,34,31,4,1,"88,23529412",0,0,0,3,0,0,1,,"0,96875","0,8571428571","0,9095354523",41,7,100,"0,8541666667"
Saouda,22030,121,"1,32",10,,Orogrande,Volkameriana,33,31,8,6,"75,75757576",0,0,0,7,0,0,1,,"0,8378378378","0,641025641","0,7263355201",50,10,"121,2121212","0,8333333333"
Saouda,22030,116,"1,464646465",5,,Orogrande,Volkameriana,29,27,5,3,"82,75862069",0,0,0,5,0,0,0,,"0,9","0,75","0,8181818182",34,3,"106,8965517","0,9189189189"
Saouda,22030,114,"1,443103448",3,,Orogrande,Volkameriana,27,20,7,0,"74,07407407",0,0,0,7,0,0,0,,1,"0,7407407407","0,8510638298",23,1,"81,48148148","0,9583333333"
Saouda,22030,117,"0,8536155203",6,,Orogrande,Volkameriana,22,25,1,4,"95,45454545",0,0,0,1,0,0,0,,"0,8620689655","0,8076923077","0,8339952343",28,5,"104,5454545","0,8484848485"
Saouda,22030,115,"1,493506494",4,,Orogrande,Volkameriana,20,15,6,1,70,0,0,0,5,0,1,0,,"0,9375","0,6666666667","0,7792207792",15,6,45,"0,7142857143"
Saouda,22030,118,"0,5785714286",7,,Orogrande,Volkameriana,9,8,2,1,"77,77777778",0,0,0,2,0,0,0,,"0,8888888889","0,7","0,7832167832",13,13,0,"0,5"
Saouda,23020,127,0,6,,Orogrande,Volkameriana,55,47,10,2,"81,81818182",0,0,0,7,0,0,3,,"0,9591836735","0,7894736842","0,8660933661",60,11,"89,09090909","0,8450704225"
Saouda,23020,124,"1,145454545",3,,Orogrande,Volkameriana,36,31,8,3,"77,77777778",2,1,0,5,0,0,0,,"0,9117647059","0,7179487179","0,8033317908",50,13,"102,7777778","0,7936507937"
Saouda,23020,128,"1,681818182",7,,Orogrande,Volkameriana,36,26,14,4,"61,11111111",0,0,0,11,0,1,2,,"0,8666666667","0,55","0,6729411765",44,8,100,"0,8461538462"
Saouda,23020,122,"1,259259259",1,,Orogrande,Volkameriana,34,30,7,3,"79,41176471",0,0,0,7,0,0,0,,"0,9090909091","0,7297297297","0,8095952024",41,6,"102,9411765","0,8723404255"
Saouda,23020,123,"1,338235294",2,,Orogrande,Volkameriana,26,23,6,3,"76,92307692",0,0,0,4,0,1,1,,"0,8846153846","0,6896551724","0,7750631845",31,12,"73,07692308","0,7209302326"
Saouda,23020,126,"0,8846153846",5,,Orogrande,Volkameriana,23,20,4,1,"82,60869565",0,0,0,1,0,3,0,,"0,9523809524","0,7916666667","0,8646188851",29,6,100,"0,8285714286"
Saouda,23020,129,"1,176470588",8,,Orogrande,Volkameriana,20,18,3,1,85,0,0,0,3,0,0,0,,"0,9473684211","0,8095238095","0,8730385164",29,3,130,"0,90625"
Saouda,23020,130,"1,7",9,,Orogrande,Volkameriana,17,17,4,4,"76,47058824",0,0,0,3,0,1,0,,"0,8095238095","0,619047619","0,7015873016",22,9,"76,47058824","0,7096774194"
Saouda,23020,125,"0,8739495798",4,,Orogrande,Volkameriana,16,17,2,3,"87,5",0,0,0,2,0,0,0,,"0,85","0,7368421053","0,7893864013",20,7,"81,25","0,7407407407"
Saouda,23020,131,"0,8863636364",10,,Orogrande,Volkameriana,12,14,1,3,"91,66666667",0,0,0,1,0,0,0,,"0,8235294118","0,7333333333","0,7758186398",18,7,"91,66666667","0,72"
Saouda,23030,136,"1,047619048",5,,Orogrande,Volkameriana,24,21,3,0,"87,5",0,0,0,1,0,2,0,,1,"0,875","0,9333333333",30,3,"112,5","0,9090909091"
Saouda,23030,132,"1,29375",1,,Orogrande,Volkameriana,23,21,3,1,"86,95652174",0,0,0,1,0,1,1,,"0,9545454545","0,8333333333","0,8898305085",23,2,"91,30434783","0,92"
Saouda,23030,141,"1,304347826",10,,Orogrande,Volkameriana,20,16,6,2,70,0,0,4,2,0,0,0,,"0,8888888889","0,6363636364","0,7417218543",21,1,100,"0,9545454545"
Saouda,23030,137,"1,1875",6,,Orogrande,Volkameriana,19,18,3,2,"84,21052632",0,0,0,2,0,1,0,,"0,9","0,7619047619","0,8252148997",23,6,"89,47368421","0,7931034483"
Saouda,23030,138,"1,043859649",7,,Orogrande,Volkameriana,14,14,2,2,"85,71428571",0,1,1,0,0,0,0,,"0,875","0,75","0,8076923077",13,1,"85,71428571","0,9285714286"
Saouda,23030,135,"1,114285714",4,,Orogrande,Volkameriana,13,10,3,0,"76,92307692",0,0,0,3,0,0,0,,1,"0,7692307692","0,8695652174",16,9,"53,84615385","0,64"
Saouda,23030,140,"0,6461538462",9,,Orogrande,Volkameriana,6,5,1,0,"83,33333333",0,0,0,0,0,0,1,,1,"0,8333333333","0,9090909091",18,7,"183,3333333","0,72"
Saouda,23030,139,"1,833333333",8,,Orogrande,Volkameriana,4,6,0,2,100,0,0,0,0,0,0,0,,"0,75","0,6666666667","0,7058823529",15,2,325,"0,8823529412"
Saouda,23030,133,"3,25",2,,Orogrande,Volkameriana,3,5,0,2,100,0,0,0,0,0,0,0,,"0,7142857143","0,6","0,652173913",4,2,"66,66666667","0,6666666667"
Saouda,23030,134,"0,6666666667",3,,Orogrande,Volkameriana,3,8,0,5,100,0,0,0,0,0,0,0,,"0,6153846154","0,375","0,4660194175",6,12,-200,"0,3333333333"
Nour,31050,32,"-3,052631579",7,,Orogrande,Volkameriana,58,38,20,0,"65,51724138",0,0,0,8,2,9,1,,1,"0,6551724138","0,7916666667",61,3,100,"0,953125"
Nour,31050,33,"1,588235294",8,,Orogrande,Volkameriana,27,18,10,1,"62,96296296",0,0,0,4,1,5,0,,"0,9473684211","0,6071428571","0,7400241838",28,2,"96,2962963","0,9333333333"
Nour,31050,14,"1,192239859",4,,Orogrande,Volkameriana,26,21,5,0,"80,76923077",0,0,0,3,0,1,1,,1,"0,8076923077","0,8936170213",27,4,"88,46153846","0,8709677419"
Nour,31050,12,"1,105769231",2,,Orogrande,Volkameriana,25,20,5,0,80,0,2,0,3,0,0,0,,1,"0,8","0,8888888889",19,0,76,1
Nour,31050,11,"0,84",1,,Orogrande,Volkameriana,21,20,2,1,"90,47619048",0,0,0,1,0,0,1,,"0,9523809524","0,8636363636","0,9058402861",23,8,"71,42857143","0,7419354839"
Nour,31050,13,"0,9375",3,,Orogrande,Volkameriana,21,18,5,2,"76,19047619",0,0,0,5,0,0,0,,"0,9","0,6956521739","0,7847411444",25,1,"114,2857143","0,9615384615"
Nour,31050,34,"1,714285714",9,,Orogrande,Volkameriana,21,15,7,1,"66,66666667",1,0,0,5,0,0,1,,"0,9375","0,6363636364","0,7581227437",20,2,"85,71428571","0,9090909091"
Nour,31050,15,"1,028571429",5,,Orogrande,Volkameriana,18,15,3,0,"83,33333333",0,1,0,1,0,1,0,,1,"0,8333333333","0,9090909091",21,1,"111,1111111","0,9545454545"
Nour,31050,31,"1,805555556",6,,Orogrande,Volkameriana,13,10,5,2,"61,53846154",0,0,0,2,0,3,0,,"0,8333333333","0,5333333333","0,6504065041",17,2,"115,3846154","0,8947368421"
Nour,31050,35,"1,384615385",10,,Orogrande,Volkameriana,6,8,1,3,"83,33333333",0,0,0,1,0,0,0,,"0,7272727273","0,5555555556","0,6299212598",16,6,"166,6666667","0,7272727273"
Nour,31100,17,"2,458333333",2,,Orogrande,Volkameriana,59,42,19,2,"67,79661017",3,0,0,8,0,2,6,,"0,9545454545","0,6557377049","0,7774178621",56,2,"91,52542373","0,9655172414"
Nour,31100,20,"1,075423729",5,,Orogrande,Volkameriana,47,41,7,1,"85,10638298",2,0,0,3,0,1,1,,"0,9761904762","0,8333333333","0,899122807",52,4,"102,1276596","0,9285714286"
Nour,31100,16,"1,196352584",1,,Orogrande,Volkameriana,41,40,6,5,"85,36585366",0,0,0,1,0,4,1,,"0,8888888889","0,7608695652","0,8199121523",38,4,"82,92682927","0,9047619048"
